title,link,displayed_link,snippet,snippet_highlighted_words,label
hsbc holdings plc. and hsbc bank usa n.a. admit to anti ...,https://www.justice.gov/opa/pr/hsbc-holdings-plc-and-hsbc-bank-usa-na-admit-anti-money-laundering-and-sanctions-violations,https://www.justice.gov › Office of Public Affairs › News,"according to court documents, hsbc bank usa violated the bsa by failing to maintain an effective anti-money laundering program and to conduct ...",['violated the BSA'],relevant
hsbc's money laundering scandal - investopedia,https://www.investopedia.com/stock-analysis/2013/investing-news-for-jan-29-hsbcs-money-laundering-scandal-hbc-scbff-ing-cs-rbs0129.aspx,https://www.investopedia.com › Investing › Stocks,hsbc holdings' (hsbc) agreement to pay a $1.9 billion fine to regulators for serving as a middleman for mexican drug cartels and enter into a deferred ...,['pay a $1.9 billion fine'],relevant
fed ends decade-long enforcement action against hsbc,https://www.reuters.com/business/finance/us-fed-terminates-enforcement-action-against-hsbc-2022-09-02/,https://www.reuters.com › business › finance › us-fed-ter...,"london-headquartered hsbc was accused in 2012 of degenerating into a ""preferred financial institution"" for mexican and colombian drug cartels ...",['accused in 2012 of degenerating'],relevant
hsbc fined £64m for anti-money laundering failings - bbc,https://www.bbc.com/news/business-59689581,https://www.bbc.com › news › business-59689581,"banking giant hsbc has been fined £63.9m by the uk's financial regulator for ""unacceptable failings"" of its anti-money laundering systems. the ...",['has been fined £63.9m by'],relevant
hsbc moved vast sums of dirty money after paying record ...,https://www.icij.org/investigations/fincen-files/hsbc-moved-vast-sums-of-dirty-money-after-paying-record-laundering-fine/,https://www.icij.org › investigations › fincen-files › hsbc-...,hsbc moved vast sums of dirty money after paying record laundering fine ... fincen files probe reveals europe's biggest bank aided massive ponzi ...,"['HSBC', 'money', 'laundering fine']",relevant
fca fines hsbc bank plc £63.9 million for deficient ...,https://www.fca.org.uk/news/press-releases/fca-fines-hsbc-bank-plc-deficient-transaction-monitoring-controls,https://www.fca.org.uk › News,we have fined hsbc bank plc (hsbc) £63946800 for failings in its anti-money laundering processes.,['£63946800'],relevant
hsbc faces questions over disclosure of alleged money ...,https://www.theguardian.com/business/2021/jul/28/hsbc-faces-questions-over-disclosure-of-alleged-money-laundering-to-monitors,https://www.theguardian.com › business › jul › hsbc-fa...,the uk's financial conduct authority launches an investigation into hsbc over potential breaches of money laundering rules over concerns were ...,"['investigation', 'HSBC', 'money laundering']",relevant
hsbc to pay $192m penalty in us tax evasion case,https://www.ft.com/content/e7d51ec4-1b99-11ea-97df-cc63de1d73f4,https://www.ft.com › ... › Financials › HSBC Holdings PLC,hsbc's private bank will pay $192m in penalties and admit to helping us customers hide more than $1bn in assets from tax authorities as part ...,['will pay $192m in penalties'],relevant
hsbc fined $85 million for lax anti-money-laundering ...,https://www.wsj.com/articles/hsbc-fined-85-million-for-lax-anti-money-laundering-controls-11639734739,https://www.wsj.com › articles › hsbc-fined-85-million-...,hsbc hsbc -1.02%decrease; red down pointing triangle holdings plc was fined for inadequate anti-money-laundering controls that the ...,"['HSBC HSBC', 'Holdings PLC', 'money', 'laundering']",relevant
ex-10.1 - sec.gov,https://www.sec.gov/Archives/edgar/data/83246/000119312512499980/d453978dex101.htm,https://www.sec.gov › Archives › edgar › data,hsbc bank usa has revamped its kyc program and now treats hsbc group affiliates ... anti-money laundering standards available in any location where the hsbc ...,"['HSBC Group', 'money laundering']",not relevant
the wolfsberg group anti-money laundering questionnaire,https://www.about.us.hsbc.com/-/media/us/en/hsbc-in-the-usa/regulatory-information/patriot-act/201215-hsbc-group-wolfsberg-questionnaire.pdf,https://www.about.us.hsbc.com › media › patriot-act,list of subsidiaries available in the hsbc group annual report: https://www.hsbc.com/investors/results-and-announcements/annual-report . list of locations:.,['HSBC Group'],not relevant
expertise | hsbc holdings plc,https://www.hsbc.com/who-we-are/esg-and-responsible-business/fighting-financial-crime/expertise,https://www.hsbc.com › ... › Fighting financial crime,"as a minimum requirement, all hsbc employees must complete mandatory on-line learning in areas such as sanctions and anti-money laundering every year, ...","['HSBC', 'money laundering']",not relevant
fighting financial crime | hsbc holdings plc,https://www.hsbc.com/who-we-are/esg-and-responsible-business/fighting-financial-crime,https://www.hsbc.com › esg-and-responsible-business,"left unchecked, sophisticated criminals use the financial system to bank the profits of systematic illegal activity. whether it is money laundering, human ...",['money laundering'],not relevant
financial crime risk policies | hsbc holdings plc,https://www.hsbc.com/who-we-are/esg-and-responsible-business/fighting-financial-crime/financial-crime-risk-policies,https://www.hsbc.com › ... › Fighting financial crime,"hsbc is committed to high ethical standards. our policies on anti-money laundering, sanctions, and anti-bribery and corruption aim to ensure that risks ...","['HSBC', 'money laundering', 'corruption']",not relevant
